,posTerms,negTerms,neutralTerms
GRE09,40,73,460
POF03,19,57,522
AMU07,26,62,409
BFC03,33,60,520
BRE10,37,45,517
BRE04,24,45,454
UPS09,32,51,437
BRE05,37,67,599
UPS08,40,41,460
BRE11,19,61,361
BFC02,49,107,850
AMU06,35,58,442
POF02,31,40,373
GRE08,34,56,468
CFE01,27,65,500
CFE03,27,54,456
NOR09,29,46,507
AMU04,27,55,426
OCM20,22,60,392
AMU10,35,57,435
OCM08,17,38,380
.folder_info,0,0,29
BRE07,18,36,346
BRE13,23,51,559
BRE12,25,25,366
BRE06,20,39,456
BFC01,66,72,775
OCM09,32,55,402
AMU11,34,30,370
AMU05,21,42,416
POF01,21,36,399
NOR08,16,44,377
CFE02,19,35,330
POF05,14,43,415
CFE06,34,42,379
OCM19,26,44,477
AMU01,16,46,402
BFC05,48,76,609
BRE02,34,34,445
BRE16,30,48,494
BRE03,36,64,553
BFC04,33,72,661
BFC10,49,61,607
OCM18,24,36,474
CFE07,28,46,474
POF04,33,47,482
CFE05,27,53,451
CFE11,28,36,445
AMU02,19,53,369
BFC06,49,68,693
BRE15,39,35,493
BRE01,26,70,476
BRE14,20,43,441
BFC07,39,77,546
AMU03,19,54,429
CFE10,17,31,373
CFE04,36,68,470
HES05,33,36,403
LDV01,43,72,671
HES04,19,54,505
HES06,17,37,334
BOD09,38,52,472
LDV02,50,119,716
LDV03,42,70,553
BOD08,22,47,411
HES07,31,56,490
PES08,35,49,384
LYO08,41,47,454
HES03,26,27,312
LDV07,39,81,693
LDV06,24,72,591
HES02,25,53,492
LYO09,32,72,478
PES09,27,61,475
LRE09,30,50,393
LOR09,17,41,390
LDV10,35,58,618
LDV04,57,94,772
LDV05,42,80,730
LOR08,25,46,452
HES01,17,51,382
LRE08,19,32,355
LRE11,15,48,470
LRE05,21,41,441
PES07,19,41,412
LYO07,37,47,424
LYO13,48,59,550
LOR05,39,51,414
BOD03,18,27,419
LDV08,23,56,427
LDV09,44,72,506
BOD16,37,56,447
BOD02,20,50,429
LOR10,23,32,471
LOR04,22,53,433
LYO12,26,28,411
LYO06,19,40,479
PES06,30,52,399
LRE04,24,47,466
LRE10,32,46,440
LRE06,25,32,330
PES10,39,64,494
LYO10,21,48,488
LYO04,31,37,388
LOR06,25,35,364
BOD14,32,57,451
BOD01,29,65,468
BOD15,45,70,517
LOR07,27,46,414
LYO05,32,68,514
LYO11,24,42,473
PES11,23,75,416
PES05,29,33,377
LRE07,24,51,507
LRE03,22,37,350
PES01,20,42,377
LYO01,20,49,441
BOD11,37,50,381
BOD05,23,61,494
BOD04,30,34,437
BOD10,26,41,433
LOR02,20,40,414
LYO14,26,64,449
LRE02,30,52,450
PES02,31,53,521
LYO02,35,47,444
BOD06,17,52,414
BOD12,44,68,481
BOD13,24,58,401
BOD07,27,41,472
HES08,36,75,452
LOR01,29,57,476
LYO03,45,64,517
PES03,18,47,443
LRE01,22,43,464
NOR03,40,59,541
GRE14,21,46,498
CFE09,27,54,473
OCM02,22,37,398
OCM16,39,46,472
SEN02,26,78,466
UPS14,41,59,497
UPS15,34,61,408
UPS01,37,54,437
ANT02,24,46,345
CVL04,23,42,443
OCM17,19,37,474
OCM03,32,37,460
CFE08,30,51,408
GRE01,30,52,413
GRE15,24,52,422
NOR02,30,54,387
GRE03,30,37,356
OCM15,27,50,428
OCM01,30,43,499
SEN01,36,53,416
BFC09,50,92,611
UPS03,18,61,425
UPS02,16,58,433
ANT01,20,85,449
BFC08,57,60,635
OCM14,45,60,445
GRE02,24,47,379
NOR01,26,46,381
UPL02,37,48,489
GRE06,17,64,391
GRE12,30,61,456
NOR11,30,65,551
AMU08,28,60,385
OCM04,32,58,433
CVL03,15,73,386
UPS12,26,69,458
UPS06,27,42,400
UPS07,26,42,406
UPS13,33,58,457
CVL02,24,79,473
OCM05,44,43,535
OCM11,15,35,394
AMU09,25,52,364
NOR04,21,38,372
NOR10,21,36,357
GRE13,28,51,470
GRE07,27,52,367
UPL01,23,62,343
GRE11,29,66,472
GRE05,29,57,489
NOR06,18,40,459
NOR12,29,56,551
OCM07,30,77,440
OCM13,22,28,308
BRE08,31,42,379
UPS05,19,56,412
UPS11,21,41,393
UPS10,21,61,499
BRE09,34,45,400
UPS04,34,48,378
CVL01,33,40,361
OCM12,24,30,507
OCM06,36,35,579
NOR07,40,40,365
GRE04,32,28,350
GRE10,30,55,537
