,BOD09
conjunctToSent,0.4615384615384615
conjunctTypesToSent,0.0961538461538461
conjunctToWords,0.0461538461538461
conjunctNum,24.0
conjunctTypesToTotal,0.2083333333333333
conjunctNeighborSent,0.0961538461538461
posemo,3.44
negemo,1.45
anx,0.18
anger,0.18
sad,0.54
synonymToNouns,0.8533333333333334
synonymToVerbs,0.7358490566037735
averageSynClassNOUN,1.171875
averageSynClassVERB,1.358974358974359
TTR,0.025
CorrectedTTR,0.4031128874149275
RootTTR,0.570087712549569
BilogTTR,0.4101406409964348
MTLD,62.81703385276733
POS_numNouns,0.2331838565022421
POS_numProperNouns,0.0156950672645739
POS_numPronouns,0.0246636771300448
POS_numConjunct,0.0493273542600896
POS_numAdjectives,0.100896860986547
POS_numVerbs,0.1659192825112107
POS_numAdverbs,0.1031390134529148
POS_numModals,0.0
POS_numPrepositions,0.1860986547085202
POS_numInterjections,0.0044843049327354
POS_numPerPronouns,0.0246636771300448
POS_numWhPronouns,0.0
POS_numLexicals,0.6031390134529148
POS_numFunctionWords,0.5
POS_numDeterminers,0.132286995515695
POS_numVerbsVB,0.1502242152466367
POS_numVerbsVBG,0.0
POS_numVerbsVBN,0.0156950672645739
POS_numVerbsVBP,0.0
POS_numVerbsVBZ,0.0
POS_advVar,0.1710037174721189
POS_adjVar,0.1672862453531598
POS_modVar,0.3382899628252788
POS_nounVar,0.3866171003717472
POS_verbVar1,1.2333333333333334
POS_verbVar2,0.275092936802974
POS_squaredVerbVar1,91.26666666666668
POS_correctedVV1,6.7552448758970485
localNounOverlapCount,0.0
localArgumentOverlapCount,0.1923076923076923
localStemOverlapCount,0.2307692307692307
localContentWordOverlap,1.5
globalNounOverlapCount,0.0
globalArgumentOverlapCount,2.9423076923076925
globalStemOverlapCount,3.6538461538461537
globalContentWordOverlap,38.07692307692308
DISC_RefExprPronounsPerNoun,0.1134020618556701
DISC_RefExprPronounsPerSen,0.2115384615384615
DISC_RefExprPronounsPerWord,0.0211538461538461
DISC_RefExprPerPronounsPerSen,0.2115384615384615
DISC_RefExprPerProPerWord,0.0211538461538461
DISC_RefExprPossProPerSen,0.0
DISC_RefExprPossProPerWord,0.0
DISC_RefExprDefArtPerSen,0.0
DISC_RefExprDefArtPerWord,0.0
DISC_RefExprProperNounsPerNoun,0.0721649484536082
